,Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Fav genre_Classical,Fav genre_Country,Fav genre_EDM,Fav genre_Folk,Fav genre_Gospel,Fav genre_Hip hop,Fav genre_Jazz,Fav genre_K pop,Fav genre_Latin,Fav genre_Lofi,Fav genre_Metal,Fav genre_Pop,Fav genre_R&B,Fav genre_Rap,Fav genre_Rock,Fav genre_Video game music,Primary streaming service_Apple Music,Primary streaming service_No service,Primary streaming service_Other,Primary streaming service_Pandora,Primary streaming service_Spotify,Primary streaming service_YouTube Music
97,3,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,2,2,0,1,3,0,8,9,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
98,2,1,1,0,0,1,1,0,2,0,0,0,0,2,2,1,0,0,2,2,1,2,3,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
99,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,8,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
100,2,0,0,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0,3,2,0,1,3,1,3,4,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
101,2,0,0,1,0,0,0,0,3,0,0,0,1,0,2,0,2,0,1,1,1,0,3,2,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,1,2,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,3,2,2,2,3,1,10,8,6,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
103,3,0,0,0,0,1,0,0,1,0,3,2,0,0,0,0,0,1,1,1,0,0,2,1,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
104,2,1,1,0,0,1,1,0,0,0,1,0,0,1,0,2,0,1,1,2,2,1,3,2,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
105,2,0,1,1,0,1,1,0,2,1,0,3,0,0,1,0,0,1,3,1,0,1,2,3,8,4,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
106,4,1,1,0,0,0,1,0,2,0,1,1,1,3,2,1,1,0,1,3,3,2,3,0,9,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
107,2,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,1,3,2,7,4,6,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
108,3,1,1,0,0,1,1,0,1,0,2,0,0,2,1,0,0,0,3,1,0,2,2,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
109,2,1,1,0,1,1,0,0,2,1,0,2,0,0,0,0,0,0,3,3,0,0,3,1,10,0,10,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110,2,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,3,1,0,0,2,1,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
111,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,3,2,1,0,0,7,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
112,2,1,1,0,0,1,0,0,1,1,1,1,0,2,1,1,0,0,1,3,1,2,2,2,7,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
113,2,0,1,1,0,1,1,0,2,0,0,1,0,2,2,0,2,1,1,3,2,2,3,2,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
114,2,3,1,0,0,1,1,0,3,0,1,0,0,2,2,3,0,3,0,3,2,1,1,1,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,2,1,1,0,0,1,1,0,1,0,2,2,0,3,1,3,2,3,1,3,3,3,2,2,7,6,7,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,2,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,3,0,0,1,2,0,7,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
117,2,0,0,0,1,1,0,0,0,0,3,0,1,2,2,0,0,0,0,3,3,2,2,0,2,7,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,1,1,1,0,0,1,0,0,1,2,2,2,0,1,1,1,0,3,2,3,3,2,3,2,7,8,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
119,3,0,0,0,0,1,0,0,1,2,0,3,0,1,1,0,0,0,0,2,0,1,3,1,4,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,3,3,0,2,3,2,7,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
